Model,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Val_RMSE,Val_MAE,Val_R2,Val_MAPE,CV_RMSE,Overfit_Score
Linear Regression,5.740903894981146e-14,4.6801081528731934e-14,1.0,9.490818687478526e-17,5.684341886080802e-14,4.5474735088646414e-14,1.0,9.225889407212313e-17,6.833042380191788e-14,5.656200890034501e-16
SVR_Linear,0.05892571264477505,0.05080641362691381,0.9999041167706259,0.00010293466541779422,0.05806968979301846,0.04883974449264116,0.999893799767474,9.892370336081054e-05,0.06178511430961552,0.0008560228517565938
Ridge Regression,0.11352020560586262,0.09078181711541192,0.9996441398940559,0.0001840053712954943,0.1093991625106218,0.08379245520574471,0.9996230754281358,0.0001698134368612651,0.1319074505021493,0.00412104309524082
SVR_RBF,0.10325143594812378,0.0820051909684769,0.9997056085679961,0.0001661812379123486,0.11034470476174119,0.07849267379799926,0.9996165317164105,0.00015915057822905052,0.13101076465038466,0.007093268813617409
CatBoost,0.14525847923446145,0.1172317346552892,0.9994173389974745,0.00023757124835945651,0.3529168219813004,0.2764046685710696,0.9960774257320907,0.0005600237058300048,0.3810394415407373,0.20765834274683898
LightGBM,0.15021692723726443,0.1150633862556606,0.9993768814019958,0.0002333166683229319,0.521858776361712,0.4051902903978572,0.9914230586810109,0.0008208875729300543,0.5828440242404386,0.37164184912444753
Lasso Regression,0.547382093848444,0.44378182437163805,0.9917260262509439,0.0008993707236577448,0.5286600517121213,0.4298932403988644,0.9911980389227841,0.0008713087506384998,0.5579766394934474,0.01872204213632278
ElasticNet,0.5902693169350264,0.48046948377855453,0.9903787082809014,0.0009735975348228509,0.5578759841130334,0.4572253803795999,0.9901982913897404,0.000926637704100168,0.6012127992325238,0.03239333282199297
Gradient Boosting,0.037377686110856546,0.028466791736161855,0.9999614203937505,5.764399778885785e-05,0.5940616540419903,0.46651534205976813,0.9888855111182373,0.0009462396048187027,0.6486476981113373,0.5566839679311337
Extra Trees,0.0012759971364903625,0.0006391666672802405,0.9999999550393723,1.2929621953886042e-06,0.5965399315003336,0.46638033333340817,0.9887925839209694,0.0009457806942073973,0.6591115968048818,0.5952639343638432
XGBoost,0.019756787013237916,0.014235972086588049,0.9999892213194306,2.882151284577243e-05,0.6359592551991836,0.48387496948242303,0.987262475286488,0.0009814120988439043,0.7082421543499852,0.6162024681859457
Bagging,0.26523274134867775,0.19888083333335363,0.9980573827820806,0.0004038087664584207,0.7613161227440288,0.60117250000003,0.9817460645752989,0.001220426228066939,0.79957978547068,0.4960833813953511
Random Forest,0.32459084110357805,0.24163515064220045,0.9970905862418507,0.0004905586718810565,0.776694979602617,0.6109938024093668,0.981001143981622,0.001240265841386283,0.814438959220242,0.45210413849903897
KNN,1.0287025809241512,0.788733333333335,0.9707778191272131,0.0015988980895760207,1.139856405430088,0.887775000000004,0.9590808368045977,0.0017987298533270973,1.2302444032250923,0.1111538245059367
Decision Tree,0.17759449398258087,0.07032159090908967,0.9991290525342433,0.00014312237119257817,1.238829157622279,0.9471443181818145,0.9516663834149803,0.0019207357961050567,1.428635073505561,1.061234663639698
AdaBoost,1.0587926620782309,0.8719971288051541,0.9690432891133155,0.0017661929333390185,1.3337592364474977,1.0970131354573085,0.943975068331836,0.002220341416047803,1.2874573953307016,0.27496657436926686
Neural Network,2.369802883023801,1.8632732657761653,0.8449194214210816,0.0037748925614464702,11.258425753691842,4.223910929660974,-2.99191965557551,0.00855040382886048,6.932127326198331,8.88862287066804
